sigungu,month,tmax_mean,heat_days,precip_sum,rain_days,heavy_rain_days,wind_max_ms,windy_days,acc_all,acc_visitor,elevation_m,er_km,visitors
강릉시,1,3.8,0,11.1,4,0,7.3,0,0,0,6.0,4.997,
강릉시,2,4.8,0,2.9,1,0,10.1,0,0,0,6.0,4.997,
강릉시,3,11.0,0,77.8,10,0,11.4,0,132,132,6.0,4.997,
강릉시,4,17.8,0,41.4,3,0,13.4,0,35,35,6.0,4.997,
강릉시,5,22.5,0,13.5,5,0,10.9,0,1,1,6.0,4.997,
강릉시,6,24.2,0,135.6,13,1,9.2,0,0,0,6.0,4.997,
강릉시,7,26.8,0,193.3,19,2,7.7,0,0,0,6.0,4.997,
강릉시,8,27.5,2,516.0,21,5,6.6,0,142,142,6.0,4.997,
강릉시,9,24.0,0,172.2,12,2,10.6,0,60,60,6.0,4.997,
강릉시,10,17.5,0,263.5,15,2,11.9,0,0,0,6.0,4.997,
강릉시,11,14.9,0,47.8,6,0,10.9,0,5,5,6.0,4.997,
강릉시,12,4.1,0,1.8,1,0,11.9,0,1,1,6.0,4.997,
고성군,1,2.4,0,7.3,3,0,9.4,0,0,0,168.0,21.82,
고성군,2,3.4,0,22.6,3,0,9.5,0,0,0,168.0,21.82,
고성군,3,9.9,0,113.7,10,0,9.4,0,0,0,168.0,21.82,
고성군,4,17.1,0,43.1,5,0,13.1,0,14,14,168.0,21.82,
고성군,5,21.8,0,17.5,4,0,11.8,0,0,0,168.0,21.82,
고성군,6,23.0,0,259.6,17,3,8.6,0,77,77,168.0,21.82,
고성군,7,25.9,0,207.5,18,2,7.4,0,0,0,168.0,21.82,
고성군,8,26.5,0,348.5,20,3,9.2,0,0,0,168.0,21.82,
고성군,9,23.0,0,246.5,9,3,7.9,0,8,8,168.0,21.82,
고성군,10,16.5,0,229.9,14,3,12.1,0,12,12,168.0,21.82,
고성군,11,13.8,0,56.6,6,0,13.0,0,0,0,168.0,21.82,
고성군,12,2.1,0,1.3,1,0,11.7,0,74,74,168.0,21.82,
동해시,1,3.3,0,10.5,3,0,8.4,0,0,0,297.0,4.233,
동해시,2,3.6,0,4.9,2,0,10.0,0,0,0,297.0,4.233,
동해시,3,10.7,0,100.7,10,0,8.8,0,2,2,297.0,4.233,
동해시,4,17.2,0,53.9,5,0,13.0,0,39,39,297.0,4.233,
동해시,5,21.5,0,17.8,5,0,11.2,0,0,0,297.0,4.233,
동해시,6,23.4,0,139.2,17,1,10.1,0,0,0,297.0,4.233,
동해시,7,26.2,0,206.4,19,2,5.4,0,0,0,297.0,4.233,
동해시,8,26.3,0,471.6,22,6,6.6,0,0,0,297.0,4.233,
동해시,9,22.4,0,177.8,11,2,11.5,0,40,40,297.0,4.233,
동해시,10,16.3,0,261.7,15,4,11.3,0,1,1,297.0,4.233,
동해시,11,13.9,0,69.5,6,0,10.0,0,0,0,297.0,4.233,
동해시,12,2.3,0,2.2,0,0,12.3,0,0,0,297.0,4.233,
삼척시,1,5.1,0,12.0,4,0,8.8,0,0,0,6.0,14.142,
삼척시,2,5.5,0,8.5,2,0,10.1,0,0,0,6.0,14.142,
삼척시,3,12.4,0,96.0,12,0,8.8,0,0,0,6.0,14.142,
삼척시,4,18.8,0,53.2,5,0,13.3,0,18,18,6.0,14.142,
삼척시,5,23.2,0,14.5,4,0,10.8,0,37,37,6.0,14.142,
삼척시,6,25.2,0,124.7,12,1,9.7,0,0,0,6.0,14.142,
삼척시,7,27.7,1,171.6,18,2,5.3,0,1,1,6.0,14.142,
삼척시,8,27.9,1,478.8,22,5,5.6,0,0,0,6.0,14.142,
삼척시,9,24.1,0,185.2,13,2,12.5,0,7,7,6.0,14.142,
삼척시,10,18.1,0,234.3,16,3,11.9,0,86,86,6.0,14.142,
삼척시,11,15.8,0,84.0,5,1,8.3,0,0,0,6.0,14.142,
삼척시,12,4.3,0,3.6,2,0,12.5,0,0,0,6.0,14.142,
속초시,1,2.0,0,6.4,3,0,8.2,0,1,1,1.0,1.63,
속초시,2,3.6,0,23.4,2,0,9.5,0,0,0,1.0,1.63,
속초시,3,10.0,0,108.6,12,0,9.6,0,0,0,1.0,1.63,
속초시,4,17.1,0,41.9,5,0,14.8,1,85,85,1.0,1.63,
속초시,5,22.0,0,18.6,4,0,12.8,0,0,0,1.0,1.63,
속초시,6,22.9,0,257.0,16,3,8.3,0,10,10,1.0,1.63,
속초시,7,25.6,0,228.7,21,3,8.2,0,0,0,1.0,1.63,
속초시,8,26.4,0,353.5,21,2,8.2,0,0,0,1.0,1.63,
속초시,9,23.0,0,234.5,11,3,9.1,0,109,109,1.0,1.63,
속초시,10,16.6,0,243.2,14,4,11.6,0,65,65,1.0,1.63,
속초시,11,14.0,0,57.2,7,0,13.6,0,0,0,1.0,1.63,
속초시,12,2.5,0,0.4,0,0,11.3,0,30,30,1.0,1.63,
양구군,1,1.7,0,6.2,3,0,6.6,0,0,0,216.0,8.922,
양구군,2,2.5,0,9.7,3,0,7.6,0,0,0,216.0,8.922,
양구군,3,10.6,0,75.1,11,0,7.4,0,0,0,216.0,8.922,
양구군,4,17.9,0,59.0,7,0,6.6,0,0,0,216.0,8.922,
양구군,5,22.9,0,25.6,9,0,6.6,0,0,0,216.0,8.922,
양구군,6,25.4,0,287.2,13,5,6.9,0,4,4,216.0,8.922,
양구군,7,29.2,0,221.7,23,3,4.2,0,0,0,216.0,8.922,
양구군,8,27.2,0,368.0,22,2,6.2,0,0,0,216.0,8.922,
양구군,9,24.5,0,192.8,7,2,6.1,0,0,0,216.0,8.922,
양구군,10,16.5,0,137.9,8,2,7.4,0,0,0,216.0,8.922,
양구군,11,12.5,0,60.1,6,0,5.6,0,0,0,216.0,8.922,
양구군,12,-0.3,0,7.1,3,0,7.5,0,16,16,216.0,8.922,
양양군,1,2.3,0,9.3,3,0,9.1,0,7,7,46.0,17.754,
양양군,2,3.7,0,9.0,2,0,10.1,0,0,0,46.0,17.754,
양양군,3,10.2,0,107.3,11,0,9.7,0,3,3,46.0,17.754,
양양군,4,17.6,0,39.8,4,0,13.0,0,4,4,46.0,17.754,
