month,tmax_avg,tmin_avg,precip_mm,heat33_days,heat35_days,cold12_days,cold15_days,rain30_days,rain60_days,wind14_days,sigunguCode,sigungu,seat_elevation_m
1,2.65,-4.15,44.11,0.0,0.0,0.97,0.07,0.07,0.0,0.0,1,강릉시,59.0
2,4.55,-2.71,44.03,0.0,0.0,0.3,0.03,0.2,0.0,0.0,1,강릉시,59.0
3,9.12,1.63,67.02,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1,강릉시,59.0
4,14.91,7.22,78.8,0.0,0.0,0.0,0.0,0.5,0.0,0.03,1,강릉시,59.0
5,19.53,12.49,87.31,0.0,0.0,0.0,0.0,0.57,0.07,0.0,1,강릉시,59.0
6,22.56,16.93,117.51,0.03,0.0,0.0,0.0,0.87,0.37,0.0,1,강릉시,59.0
7,25.53,21.02,223.7,0.2,0.0,0.0,0.0,2.2,0.5,0.0,1,강릉시,59.0
8,26.19,21.85,246.45,0.1,0.0,0.0,0.0,2.23,0.8,0.0,1,강릉시,59.0
9,22.28,17.2,189.92,0.0,0.0,0.0,0.0,1.8,0.67,0.07,1,강릉시,59.0
10,17.89,11.51,85.83,0.0,0.0,0.0,0.0,0.53,0.2,0.03,1,강릉시,59.0
11,11.56,4.99,63.19,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1,강릉시,59.0
12,5.25,-1.24,35.85,0.0,0.0,0.03,0.0,0.07,0.0,0.0,1,강릉시,59.0
1,1.93,-5.7,44.04,0.0,0.0,2.8,0.97,0.07,0.0,0.07,2,고성군,26.0
2,4.18,-4.03,40.88,0.0,0.0,1.0,0.2,0.1,0.0,0.0,2,고성군,26.0
3,9.09,0.92,54.82,0.0,0.0,0.0,0.0,0.07,0.0,0.0,2,고성군,26.0
4,15.25,6.61,73.12,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2,고성군,26.0
5,20.17,12.16,89.69,0.0,0.0,0.0,0.0,0.63,0.27,0.0,2,고성군,26.0
6,23.52,16.91,99.93,0.0,0.0,0.0,0.0,0.8,0.13,0.0,2,고성군,26.0
7,26.35,21.19,218.87,0.2,0.0,0.0,0.0,2.07,0.7,0.0,2,고성군,26.0
8,26.8,21.83,221.88,0.27,0.03,0.0,0.0,1.93,0.77,0.0,2,고성군,26.0
9,22.78,16.88,159.58,0.0,0.0,0.0,0.0,1.33,0.53,0.0,2,고성군,26.0
10,17.96,10.74,74.8,0.0,0.0,0.0,0.0,0.43,0.17,0.03,2,고성군,26.0
11,11.02,4.1,67.74,0.0,0.0,0.0,0.0,0.27,0.0,0.0,2,고성군,26.0
12,4.45,-2.46,38.63,0.0,0.0,0.53,0.07,0.03,0.0,0.0,2,고성군,26.0
1,2.99,-4.34,45.76,0.0,0.0,1.33,0.33,0.1,0.0,0.0,3,동해시,31.0
2,4.99,-2.99,44.16,0.0,0.0,0.57,0.13,0.2,0.0,0.0,3,동해시,31.0
3,9.66,1.41,67.87,0.0,0.0,0.03,0.0,0.13,0.0,0.0,3,동해시,31.0
4,15.76,7.24,74.8,0.0,0.0,0.0,0.0,0.37,0.03,0.03,3,동해시,31.0
5,20.64,12.72,77.37,0.0,0.0,0.0,0.0,0.5,0.03,0.0,3,동해시,31.0
6,23.88,17.24,108.76,0.07,0.0,0.0,0.0,0.63,0.33,0.0,3,동해시,31.0
7,26.62,21.44,204.85,0.47,0.0,0.0,0.0,2.07,0.57,0.0,3,동해시,31.0
8,27.06,22.22,232.78,0.33,0.0,0.0,0.0,2.03,0.63,0.0,3,동해시,31.0
9,22.85,17.34,192.11,0.0,0.0,0.0,0.0,1.7,0.53,0.07,3,동해시,31.0
10,18.24,11.37,88.63,0.0,0.0,0.0,0.0,0.7,0.23,0.0,3,동해시,31.0
11,11.86,4.84,61.48,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3,동해시,31.0
12,5.48,-1.35,35.18,0.0,0.0,0.1,0.0,0.03,0.0,0.0,3,동해시,31.0
1,3.43,-2.88,45.75,0.0,0.0,0.63,0.07,0.1,0.0,0.0,4,삼척시,30.0
2,5.32,-1.44,44.17,0.0,0.0,0.23,0.0,0.2,0.0,0.0,4,삼척시,30.0
3,9.74,2.63,67.68,0.0,0.0,0.0,0.0,0.13,0.0,0.0,4,삼척시,30.0
4,15.4,8.01,74.94,0.0,0.0,0.0,0.0,0.4,0.03,0.07,4,삼척시,30.0
5,20.0,13.16,76.55,0.0,0.0,0.0,0.0,0.47,0.03,0.0,4,삼척시,30.0
6,23.11,17.49,106.96,0.0,0.0,0.0,0.0,0.63,0.33,0.0,4,삼척시,30.0
7,26.0,21.49,204.53,0.37,0.0,0.0,0.0,2.03,0.6,0.0,4,삼척시,30.0
8,26.64,22.41,228.28,0.23,0.0,0.0,0.0,1.93,0.63,0.0,4,삼척시,30.0
9,22.67,17.9,192.81,0.0,0.0,0.0,0.0,1.7,0.53,0.07,4,삼척시,30.0
10,18.25,12.38,88.33,0.0,0.0,0.0,0.0,0.67,0.23,0.03,4,삼척시,30.0
11,12.09,5.94,61.12,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4,삼척시,30.0
12,5.86,-0.08,35.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,4,삼척시,30.0
1,1.56,-5.86,44.48,0.0,0.0,3.27,0.87,0.07,0.0,0.07,5,속초시,14.0
2,3.82,-4.21,40.82,0.0,0.0,1.27,0.23,0.1,0.0,0.0,5,속초시,14.0
3,8.75,0.82,55.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,5,속초시,14.0
4,14.74,6.46,72.97,0.0,0.0,0.0,0.0,0.4,0.0,0.03,5,속초시,14.0
5,19.66,11.94,88.61,0.0,0.0,0.0,0.0,0.63,0.27,0.07,5,속초시,14.0
6,22.91,16.61,100.33,0.0,0.0,0.0,0.0,0.77,0.13,0.0,5,속초시,14.0
7,25.75,20.78,217.78,0.1,0.0,0.0,0.0,2.0,0.7,0.0,5,속초시,14.0
8,26.27,21.48,220.6,0.1,0.07,0.0,0.0,1.9,0.8,0.0,5,속초시,14.0
9,22.32,16.69,158.28,0.0,0.0,0.0,0.0,1.33,0.53,0.0,5,속초시,14.0
10,17.61,10.7,74.83,0.0,0.0,0.0,0.0,0.4,0.17,0.03,5,속초시,14.0
11,10.75,4.01,66.9,0.0,0.0,0.0,0.0,0.23,0.0,0.0,5,속초시,14.0
12,4.17,-2.5,38.88,0.0,0.0,0.53,0.0,0.03,0.0,0.0,5,속초시,14.0
1,0.01,-8.99,22.25,0.0,0.0,9.2,4.6,0.03,0.0,0.0,6,양구군,190.0
2,3.3,-6.49,29.23,0.0,0.0,4.3,1.63,0.07,0.0,0.0,6,양구군,190.0
3,8.97,-1.17,44.29,0.0,0.0,0.17,0.0,0.07,0.0,0.0,6,양구군,190.0
4,15.78,4.44,77.25,0.0,0.0,0.0,0.0,0.53,0.03,0.0,6,양구군,190.0
5,21.15,10.53,98.61,0.0,0.0,0.0,0.0,0.77,0.13,0.0,6,양구군,190.0
6,25.25,15.88,111.26,0.03,0.0,0.0,0.0,1.0,0.1,0.0,6,양구군,190.0
7,26.97,20.07,286.56,0.5,0.03,0.0,0.0,3.07,0.83,0.0,6,양구군,190.0
8,27.42,20.71,246.76,0.7,0.1,0.0,0.0,2.47,0.87,0.0,6,양구군,190.0
9,23.32,15.48,120.89,0.0,0.0,0.0,0.0,1.13,0.33,0.0,6,양구군,190.0
10,17.5,8.71,52.55,0.0,0.0,0.0,0.0,0.37,0.13,0.0,6,양구군,190.0
11,9.29,1.64,46.61,0.0,0.0,0.07,0.0,0.13,0.0,0.0,6,양구군,190.0
12,2.21,-5.35,27.44,0.0,0.0,3.7,1.37,0.03,0.0,0.0,6,양구군,190.0
1,2.16,-6.57,39.25,0.0,0.0,4.87,1.6,0.1,0.0,0.0,7,양양군,24.0
2,4.52,-5.01,39.74,0.0,0.0,2.37,0.4,0.1,0.0,0.0,7,양양군,24.0
3,9.71,0.2,60.85,0.0,0.0,0.17,0.03,0.13,0.0,0.0,7,양양군,24.0
4,16.16,6.41,77.2,0.0,0.0,0.0,0.0,0.43,0.0,0.0,7,양양군,24.0
5,21.29,12.19,88.2,0.0,0.0,0.0,0.0,0.57,0.23,0.07,7,양양군,24.0
6,24.68,17.0,112.22,0.13,0.0,0.0,0.0,0.7,0.2,0.0,7,양양군,24.0
7,27.22,21.31,229.49,0.93,0.0,0.0,0.0,2.1,0.63,0.0,7,양양군,24.0
8,27.51,21.81,234.39,1.17,0.03,0.0,0.0,2.07,0.8,0.0,7,양양군,24.0
9,23.29,16.55,166.73,0.0,0.0,0.0,0.0,1.43,0.5,0.0,7,양양군,24.0
10,18.43,10.14,74.52,0.0,0.0,0.0,0.0,0.33,0.2,0.0,7,양양군,24.0
11,11.43,3.5,57.38,0.0,0.0,0.0,0.0,0.2,0.0,0.0,7,양양군,24.0
12,4.73,-3.12,33.19,0.0,0.0,0.8,0.2,0.07,0.0,0.0,7,양양군,24.0
1,0.76,-7.9,23.98,0.0,0.0,6.6,3.43,0.03,0.0,0.0,8,영월군,241.0
2,3.82,-5.39,32.68,0.0,0.0,2.9,1.0,0.13,0.0,0.0,8,영월군,241.0
3,9.37,-0.64,53.17,0.0,0.0,0.23,0.0,0.07,0.0,0.0,8,영월군,241.0
4,16.24,5.12,80.77,0.0,0.0,0.0,0.0,0.4,0.0,0.0,8,영월군,241.0
5,21.56,10.95,92.14,0.0,0.0,0.0,0.0,0.67,0.07,0.0,8,영월군,241.0
6,25.65,16.11,119.04,0.13,0.03,0.0,0.0,1.07,0.33,0.0,8,영월군,241.0
7,27.17,20.1,254.79,0.63,0.13,0.0,0.0,2.6,0.63,0.0,8,영월군,241.0
8,27.6,20.55,211.93,0.87,0.2,0.0,0.0,1.9,0.43,0.0,8,영월군,241.0
9,23.33,14.97,134.31,0.0,0.0,0.0,0.0,1.23,0.3,0.0,8,영월군,241.0
10,17.62,8.02,52.6,0.0,0.0,0.0,0.0,0.3,0.07,0.0,8,영월군,241.0
11,9.86,1.42,42.45,0.0,0.0,0.0,0.0,0.13,0.0,0.0,8,영월군,241.0
12,2.82,-4.87,26.08,0.0,0.0,2.33,0.9,0.0,0.0,0.0,8,영월군,241.0
1,1.5,-6.76,23.48,0.0,0.0,3.87,1.7,0.03,0.0,0.0,9,원주시,159.0
2,4.62,-4.65,33.32,0.0,0.0,1.53,0.53,0.13,0.0,0.0,9,원주시,159.0
3,10.2,-0.4,52.68,0.0,0.0,0.1,0.0,0.1,0.0,0.0,9,원주시,159.0
4,16.98,4.99,84.93,0.0,0.0,0.0,0.0,0.53,0.03,0.0,9,원주시,159.0
5,22.35,10.92,102.81,0.0,0.0,0.0,0.0,0.73,0.17,0.0,9,원주시,159.0
6,26.52,16.4,129.58,0.27,0.0,0.0,0.0,1.27,0.4,0.0,9,원주시,159.0
7,28.05,20.73,293.63,0.87,0.07,0.0,0.0,3.2,1.0,0.0,9,원주시,159.0
8,28.44,21.12,234.22,1.3,0.13,0.0,0.0,2.37,0.6,0.0,9,원주시,159.0
9,24.22,15.37,131.45,0.0,0.0,0.0,0.0,1.27,0.33,0.0,9,원주시,159.0
10,18.35,8.22,60.03,0.0,0.0,0.0,0.0,0.43,0.1,0.0,9,원주시,159.0
11,10.5,1.55,47.39,0.0,0.0,0.03,0.0,0.13,0.0,0.0,9,원주시,159.0
12,3.42,-4.47,28.28,0.0,0.0,1.67,0.47,0.0,0.0,0.0,9,원주시,159.0
1,0.16,-9.27,27.36,0.0,0.0,10.07,5.57,0.07,0.0,0.0,10,인제군,238.0
2,3.19,-7.06,32.51,0.0,0.0,5.57,2.57,0.07,0.0,0.0,10,인제군,238.0
3,8.75,-1.41,51.75,0.0,0.0,0.4,0.07,0.03,0.0,0.0,10,인제군,238.0
4,15.84,4.58,76.99,0.0,0.0,0.0,0.0,0.57,0.0,0.0,10,인제군,238.0
5,21.33,10.85,93.39,0.0,0.0,0.0,0.0,0.57,0.2,0.0,10,인제군,238.0
6,25.32,16.06,105.09,0.07,0.0,0.0,0.0,0.7,0.1,0.0,10,인제군,238.0
7,27.16,20.27,246.78,0.6,0.1,0.0,0.0,2.27,0.73,0.0,10,인제군,238.0
8,27.44,20.78,225.42,0.9,0.1,0.0,0.0,1.97,0.67,0.0,10,인제군,238.0
9,23.19,15.42,132.02,0.0,0.0,0.0,0.0,1.2,0.4,0.0,10,인제군,238.0
10,17.58,8.57,53.33,0.0,0.0,0.0,0.0,0.23,0.1,0.0,10,인제군,238.0
11,9.55,1.6,46.93,0.0,0.0,0.03,0.0,0.13,0.0,0.0,10,인제군,238.0
12,2.51,-5.33,29.22,0.0,0.0,3.7,1.2,0.03,0.0,0.0,10,인제군,238.0
1,0.68,-8.63,32.45,0.0,0.0,8.53,4.37,0.07,0.0,0.0,11,정선군,312.0
2,3.52,-6.27,36.74,0.0,0.0,4.17,1.43,0.17,0.0,0.0,11,정선군,312.0
3,8.98,-1.1,60.59,0.0,0.0,0.3,0.07,0.07,0.0,0.0,11,정선군,312.0
4,16.01,5.05,79.86,0.0,0.0,0.0,0.0,0.57,0.0,0.0,11,정선군,312.0
5,21.37,11.16,90.56,0.0,0.0,0.0,0.0,0.63,0.17,0.0,11,정선군,312.0
6,25.25,16.22,111.64,0.03,0.0,0.0,0.0,0.83,0.3,0.0,11,정선군,312.0
7,27.12,20.33,230.24,0.43,0.0,0.0,0.0,2.37,0.63,0.0,11,정선군,312.0
8,27.37,20.76,211.08,0.53,0.13,0.0,0.0,1.7,0.6,0.0,11,정선군,312.0
9,23.0,15.3,154.73,0.0,0.0,0.0,0.0,1.4,0.47,0.0,11,정선군,312.0
10,17.56,8.49,57.45,0.0,0.0,0.0,0.0,0.37,0.13,0.0,11,정선군,312.0
11,9.94,1.59,49.07,0.0,0.0,0.0,0.0,0.13,0.0,0.0,11,정선군,312.0
12,2.93,-5.14,29.44,0.0,0.0,3.63,1.23,0.03,0.0,0.0,11,정선군,312.0
1,0.39,-8.57,20.7,0.0,0.0,7.17,3.8,0.03,0.0,0.0,12,철원군,150.0
2,3.82,-5.76,27.22,0.0,0.0,2.73,1.03,0.07,0.0,0.0,12,철원군,150.0
3,9.57,-0.94,40.81,0.0,0.0,0.0,0.0,0.13,0.0,0.0,12,철원군,150.0
4,16.31,4.4,68.82,0.0,0.0,0.0,0.0,0.27,0.0,0.0,12,철원군,150.0
5,21.81,10.65,111.25,0.0,0.0,0.0,0.0,1.0,0.17,0.0,12,철원군,150.0
6,26.05,16.2,127.1,0.1,0.0,0.0,0.0,1.03,0.13,0.0,12,철원군,150.0
7,27.58,20.54,326.06,0.77,0.03,0.0,0.0,3.5,1.03,0.0,12,철원군,150.0
8,28.11,20.9,293.22,0.9,0.13,0.0,0.0,3.1,1.17,0.0,12,철원군,150.0
9,24.04,15.21,119.27,0.0,0.0,0.0,0.0,1.13,0.37,0.0,12,철원군,150.0
10,17.85,7.83,52.65,0.0,0.0,0.0,0.0,0.33,0.07,0.0,12,철원군,150.0
11,9.56,0.98,50.14,0.0,0.0,0.03,0.0,0.1,0.0,0.0,12,철원군,150.0
12,2.38,-5.6,26.09,0.0,0.0,3.13,1.17,0.03,0.0,0.0,12,철원군,150.0
1,1.02,-7.64,21.38,0.0,0.0,5.97,2.97,0.03,0.0,0.0,13,춘천시,99.0
2,4.38,-5.12,27.87,0.0,0.0,2.13,0.97,0.1,0.0,0.0,13,춘천시,99.0
3,10.02,-0.33,42.23,0.0,0.0,0.07,0.0,0.13,0.0,0.0,13,춘천시,99.0
4,16.67,5.16,74.2,0.0,0.0,0.0,0.0,0.37,0.03,0.0,13,춘천시,99.0
5,22.01,11.08,100.86,0.0,0.0,0.0,0.0,0.8,0.07,0.0,13,춘천시,99.0
6,26.19,16.5,121.87,0.23,0.0,0.0,0.0,1.2,0.2,0.0,13,춘천시,99.0
7,27.83,20.7,318.32,0.97,0.17,0.0,0.0,3.37,1.07,0.0,13,춘천시,99.0
8,28.27,21.23,283.5,1.47,0.2,0.0,0.0,3.0,0.8,0.0,13,춘천시,99.0
9,24.09,15.95,125.3,0.0,0.0,0.0,0.0,1.2,0.33,0.0,13,춘천시,99.0
10,18.17,9.04,56.04,0.0,0.0,0.0,0.0,0.33,0.1,0.0,13,춘천시,99.0
11,10.07,1.98,46.53,0.0,0.0,0.07,0.0,0.13,0.0,0.0,13,춘천시,99.0
12,3.02,-4.57,26.51,0.0,0.0,2.33,0.77,0.03,0.0,0.0,13,춘천시,99.0
1,-0.42,-9.38,37.66,0.0,0.0,10.3,5.1,0.07,0.0,0.0,14,태백시,703.0
2,1.83,-7.73,38.86,0.0,0.0,6.3,2.87,0.2,0.0,0.0,14,태백시,703.0
3,6.72,-2.77,66.7,0.0,0.0,0.9,0.23,0.2,0.0,0.0,14,태백시,703.0
4,13.59,3.45,83.97,0.0,0.0,0.0,0.0,0.6,0.03,0.0,14,태백시,703.0
5,18.89,9.53,91.47,0.0,0.0,0.0,0.0,0.53,0.1,0.0,14,태백시,703.0
6,22.46,14.36,124.09,0.0,0.0,0.0,0.0,1.0,0.27,0.0,14,태백시,703.0
7,24.96,18.76,215.35,0.0,0.0,0.0,0.0,2.1,0.7,0.0,14,태백시,703.0
8,25.09,19.22,220.34,0.0,0.0,0.0,0.0,1.93,0.53,0.0,14,태백시,703.0
9,20.6,13.84,182.55,0.0,0.0,0.0,0.0,1.57,0.6,0.0,14,태백시,703.0
10,15.49,7.16,70.49,0.0,0.0,0.0,0.0,0.5,0.2,0.0,14,태백시,703.0
11,8.66,0.59,49.92,0.0,0.0,0.0,0.0,0.1,0.0,0.0,14,태백시,703.0
12,1.97,-5.88,28.8,0.0,0.0,4.33,1.53,0.0,0.0,0.0,14,태백시,703.0
1,0.63,-8.12,24.0,0.0,0.0,7.4,3.77,0.03,0.0,0.0,15,평창군,300.0
