시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,입장 가능 나이,가족 화장실 보유 여부,수유실 보유 여부,유모차 대여 여부,키즈존 여부,최종작성일
001스테이지,,전시/공연,영화/연극/공연,N,서울특별시,종로구,동숭동,,1-115 번지,대학로,116 번,37.58153269,127.0023365,03086,서울특별시 종로구 대학로 116,서울특별시 종로구 동숭동 1-115,02-744-0015,https://www.00ground.kr/space/reservation,정보없음,정보없음,정보없음,일요일,10:00~19:00,N,N,Y,연령제한없음,N,Y,N,Y,2022-10-31
1004섬수석미술관,,전시/공연,전시/기념관,기타전시/박물관,전라남도,신안군,자은면,백산리,633-54 번지,자은서부2길,508-68 번,34.8800925,125.9968744,58831,전라남도 신안군 자은면 자은서부2길 508-68,전라남도 신안군 자은면 백산리 633-54,061-240-3223,https://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,정보없음,정보없음,정보없음,월요일,10:00~17:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
123 박물관 & 김갑진갤러리,,전시/공연,전시/기념관,기타전시/박물관,전라남도,곡성군,목사동면,대곡리,1041-2 번지,대곡당산길,1 번,35.11000012,127.262542,57552,전라남도 곡성군 목사동면 대곡당산길 1,전라남도 곡성군 목사동면 대곡리 1041-2,061-362-9004,https://123museum.modoo.at,정보없음,정보없음,정보없음,월요일,10:00~17:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
148아트스퀘어,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상북도,영주시,휴천동,,630 번지,대학로,77 번,36.80700113,128.6161424,36133,경상북도 영주시 대학로 77,경상북도 영주시 휴천동 630,054-630-8712,http://www.yctf.or.kr/bbs/board.php?bo_table=m203,정보없음,https://www.facebook.com/148artsquare/,정보없음,"월요일, 명절(일정이 있을 경우는 당일만, 없으면 연휴 전체)",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
153가족캠프,,문화관광/명소,관광지,N,경기도,과천시,중앙동,,40-7 번지,새술막길,44851 번,37.42870998,126.9911989,13807,경기도 과천시 새술막길 10-17,경기도 과천시 중앙동 40-7,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
168아트스퀘어,,전시/공연,전시/기념관,기타전시/박물관,충청북도,충주시,성서동,,306 번지,예성로,168 번,36.97189318,127.9336123,27388,충청북도 충주시 예성로 168,충청북도 충주시 성서동 306,0507-1383-5009,168artsquare.com,정보없음,정보없음,정보없음,연중무휴,00:00~24:00 개관일정별도공지,Y,Y,N,연령제한없음,N,N,N,Y,2022-10-31
2.28민주운동기념회관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,중구,남산동,,2113-10 번지,2.28길,9 번,35.85840431,128.5903535,41968,대구광역시 중구 2.28길 9,대구광역시 중구 남산동 2113-10,053-257-2280,https://library.daegu.go.kr/228lib/index.do,정보없음,정보없음,정보없음,월요일,"평일 09:00~19:00, 주말 09:00~17:00",Y,N,N,연령제한없음,Y,Y,N,Y,2022-10-31
2001아울렛 구로 어린이 소극장,,전시/공연,영화/연극/공연,N,서울특별시,구로구,고척동,,76-41 번지,중앙로1길,36 번,37.49807255,126.8626774,08227,서울특별시 구로구 중앙로1길 36,서울특별시 구로구 고척동 76-41,02-2093-5093,https://2001gurohall.modoo.at,정보없음,정보없음,정보없음,월요일,10:00 - 22:00,Y,Y,N,연령제한없음,N,Y,N,Y,2022-10-31
29아트,,전시/공연,전시/기념관,미술관,경기도,하남시,덕풍동,,762 번지,조정대로,150 번,37.5535257,127.1946694,12930,경기도 하남시 조정대로 150,경기도 하남시 덕풍동 762,02-512-1029,http://www.29art.com/e/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
3.15국립묘지,,전시/공연,전시/기념관,대형기념관/묘역,경상남도,창원시 마산회원구,구암동,,544-1 번지,3.15성역로,75 번,35.25266875,128.5875347,51204,경상남도 창원시 마산회원구 3.15성역로 75,경상남도 창원시 마산회원구 구암동 544-1,055-253-9315,https://www.mpva.go.kr/315/index.do,정보없음,정보없음,정보없음,"토요일, 국·공휴일","09:00~18:00, [동절기(11~2월)]  09:00~17:00",Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
3.15아트센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상남도,창원시 마산회원구,양덕동,,532-3 번지,삼호로,135 번,35.22581853,128.5771062,51322,경상남도 창원시 마산회원구 삼호로 135,경상남도 창원시 마산회원구 양덕동 532-3,055-286-0315,http://www.cwcf.or.kr/facility/facility_315art.asp,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,8세 이상,N,N,N,Y,2022-10-31
