sigunguCode,sigungu,month,e_heat,e_cold,e_rain,e_wind,e_fire,tmax_avg,tmin_avg,seat_elev
1,강릉시,1,0.0,0.55,0.03,0.0,0,2.65,-4.15,59.0
1,강릉시,2,0.0,0.19,0.11,0.0,12,4.55,-2.71,59.0
1,강릉시,3,0.0,0.0,0.06,0.0,12,9.12,1.63,59.0
1,강릉시,4,0.0,0.0,0.25,0.01,12,14.91,7.22,59.0
1,강릉시,5,0.0,0.0,0.28,0.0,9,19.53,12.49,59.0
1,강릉시,6,0.02,0.0,0.47,0.0,0,22.56,16.93,59.0
1,강릉시,7,0.11,0.0,1.11,0.0,0,25.53,21.02,59.0
1,강릉시,8,0.05,0.0,1.16,0.0,0,26.19,21.85,59.0
1,강릉시,9,0.0,0.0,0.97,0.02,0,22.28,17.2,59.0
1,강릉시,10,0.0,0.0,0.28,0.01,3,17.89,11.51,59.0
1,강릉시,11,0.0,0.0,0.1,0.0,6,11.56,4.99,59.0
1,강릉시,12,0.0,0.02,0.03,0.0,6,5.25,-1.24,59.0
2,고성군,1,0.0,2.45,0.03,0.02,0,1.93,-5.7,26.0
2,고성군,2,0.0,0.64,0.05,0.0,12,4.18,-4.03,26.0
2,고성군,3,0.0,0.0,0.03,0.0,12,9.09,0.92,26.0
2,고성군,4,0.0,0.0,0.2,0.0,12,15.25,6.61,26.0
2,고성군,5,0.0,0.0,0.33,0.0,9,20.17,12.16,26.0
2,고성군,6,0.0,0.0,0.41,0.0,0,23.52,16.91,26.0
2,고성군,7,0.11,0.0,1.07,0.0,0,26.35,21.19,26.0
2,고성군,8,0.15,0.0,1.01,0.0,0,26.8,21.83,26.0
2,고성군,9,0.0,0.0,0.72,0.0,0,22.78,16.88,26.0
2,고성군,10,0.0,0.0,0.22,0.01,3,17.96,10.74,26.0
2,고성군,11,0.0,0.0,0.14,0.0,6,11.02,4.1,26.0
2,고성군,12,0.0,0.3,0.01,0.0,6,4.45,-2.46,26.0
3,동해시,1,0.0,0.79,0.05,0.0,0,2.99,-4.34,31.0
3,동해시,2,0.0,0.37,0.11,0.0,12,4.99,-2.99,31.0
3,동해시,3,0.0,0.02,0.06,0.0,12,9.66,1.41,31.0
3,동해시,4,0.0,0.0,0.19,0.01,12,15.76,7.24,31.0
3,동해시,5,0.0,0.0,0.24,0.0,9,20.64,12.72,31.0
3,동해시,6,0.04,0.0,0.35,0.0,0,23.88,17.24,31.0
3,동해시,7,0.26,0.0,1.06,0.0,0,26.62,21.44,31.0
3,동해시,8,0.18,0.0,1.04,0.0,0,27.06,22.22,31.0
3,동해시,9,0.0,0.0,0.9,0.02,0,22.85,17.34,31.0
3,동해시,10,0.0,0.0,0.36,0.0,3,18.24,11.37,31.0
3,동해시,11,0.0,0.0,0.1,0.0,6,11.86,4.84,31.0
3,동해시,12,0.0,0.05,0.01,0.0,6,5.48,-1.35,31.0
4,삼척시,1,0.0,0.36,0.05,0.0,0,3.43,-2.88,30.0
4,삼척시,2,0.0,0.14,0.11,0.0,12,5.32,-1.44,30.0
4,삼척시,3,0.0,0.0,0.06,0.0,12,9.74,2.63,30.0
4,삼척시,4,0.0,0.0,0.2,0.02,12,15.4,8.01,30.0
4,삼척시,5,0.0,0.0,0.23,0.0,9,20.0,13.16,30.0
4,삼척시,6,0.0,0.0,0.35,0.0,0,23.11,17.49,30.0
4,삼척시,7,0.2,0.0,1.04,0.0,0,26.0,21.49,30.0
4,삼척시,8,0.13,0.0,0.99,0.0,0,26.64,22.41,30.0
4,삼척시,9,0.0,0.0,0.9,0.02,0,22.67,17.9,30.0
4,삼척시,10,0.0,0.0,0.35,0.01,3,18.25,12.38,30.0
4,삼척시,11,0.0,0.0,0.1,0.0,6,12.09,5.94,30.0
4,삼척시,12,0.0,0.0,0.01,0.0,6,5.86,-0.08,30.0
5,속초시,1,0.0,2.84,0.03,0.02,0,1.56,-5.86,14.0
5,속초시,2,0.0,0.81,0.05,0.0,12,3.82,-4.21,14.0
5,속초시,3,0.0,0.0,0.03,0.0,12,8.75,0.82,14.0
5,속초시,4,0.0,0.0,0.2,0.01,12,14.74,6.46,14.0
5,속초시,5,0.0,0.0,0.33,0.02,9,19.66,11.94,14.0
5,속초시,6,0.0,0.0,0.4,0.0,0,22.91,16.61,14.0
5,속초시,7,0.05,0.0,1.04,0.0,0,25.75,20.78,14.0
5,속초시,8,0.07,0.0,1.0,0.0,0,26.27,21.48,14.0
5,속초시,9,0.0,0.0,0.72,0.0,0,22.32,16.69,14.0
5,속초시,10,0.0,0.0,0.21,0.01,3,17.61,10.7,14.0
5,속초시,11,0.0,0.0,0.12,0.0,6,10.75,4.01,14.0
5,속초시,12,0.0,0.29,0.01,0.0,6,4.17,-2.5,14.0
6,양구군,1,0.0,9.14,0.01,0.0,0,0.01,-8.99,190.0
6,양구군,2,0.0,4.38,0.04,0.0,12,3.3,-6.49,190.0
6,양구군,3,0.0,0.09,0.03,0.0,12,8.97,-1.17,190.0
6,양구군,4,0.0,0.0,0.27,0.0,12,15.78,4.44,190.0
