sigunguCode,sigungu,month,seat_elev,tmax_med,tmin_med,wind_med,wetday_pct,tmax_p90,tmin_p10,precip_p90,wind_p90
1,강릉시,1,59.0,2.9,-3.8,4.6,19,7.2,-9.7,4.5,7.4
1,강릉시,2,59.0,4.4,-2.6,4.3,21,9.4,-7.6,5.0,7.1
1,강릉시,3,59.0,9.0,1.8,4.2,29,14.7,-2.6,7.6,7.2
1,강릉시,4,59.0,14.8,7.3,4.2,29,20.5,3.4,7.9,7.6
1,강릉시,5,59.0,19.6,12.5,3.8,29,24.3,9.0,8.9,6.9
1,강릉시,6,59.0,22.4,16.9,3.0,38,26.5,13.8,10.0,5.1
1,강릉시,7,59.0,25.6,21.0,3.2,51,29.9,17.5,22.8,5.7
1,강릉시,8,59.0,26.3,22.0,2.9,55,30.0,18.5,20.3,5.3
1,강릉시,9,59.0,22.1,17.1,3.0,41,25.8,14.1,17.5,5.3
1,강릉시,10,59.0,18.1,11.9,3.4,27,21.5,7.2,6.1,6.3
1,강릉시,11,59.0,11.6,5.2,3.9,25,16.9,-0.0,7.0,6.9
1,강릉시,12,59.0,5.5,-0.8,4.4,17,9.9,-6.8,2.8,7.5
2,고성군,1,26.0,2.4,-5.4,5.4,20,6.5,-11.8,5.2,8.3
2,고성군,2,26.0,4.0,-3.8,4.9,22,9.0,-10.0,4.1,7.7
2,고성군,3,26.0,8.9,1.1,4.9,27,14.7,-3.3,5.5,7.6
2,고성군,4,26.0,15.2,6.7,4.8,28,20.8,2.6,7.1,7.9
2,고성군,5,26.0,20.4,12.2,4.1,26,24.8,8.8,7.5,7.2
2,고성군,6,26.0,23.5,17.1,3.5,33,27.6,13.8,7.9,5.4
2,고성군,7,26.0,26.4,21.1,3.6,46,30.8,17.8,20.3,5.9
2,고성군,8,26.0,26.9,21.9,3.3,49,30.7,18.7,20.2,5.8
2,고성군,9,26.0,22.6,16.8,3.4,35,26.5,13.6,14.4,6.0
2,고성군,10,26.0,18.2,11.0,3.9,25,21.8,6.3,6.2,6.8
2,고성군,11,26.0,11.0,4.2,4.8,27,16.4,-0.7,7.7,7.7
2,고성군,12,26.0,4.7,-1.8,5.4,18,9.2,-8.6,3.3,8.3
3,동해시,1,31.0,3.4,-4.0,4.5,19,7.6,-9.8,4.5,7.5
3,동해시,2,31.0,4.8,-2.6,4.2,20,9.9,-8.4,4.4,7.1
3,동해시,3,31.0,9.6,1.5,4.2,28,15.6,-3.2,7.6,7.0
3,동해시,4,31.0,15.8,7.3,4.1,28,21.1,2.9,7.6,7.5
3,동해시,5,31.0,20.9,12.8,3.7,26,25.1,9.1,7.4,6.8
3,동해시,6,31.0,24.0,17.3,2.9,33,27.8,13.9,9.1,4.9
3,동해시,7,31.0,26.8,21.6,3.1,44,30.7,17.8,20.6,5.7
3,동해시,8,31.0,27.4,22.4,2.9,51,31.0,18.8,21.0,5.4
3,동해시,9,31.0,22.7,17.3,3.1,39,26.6,13.9,16.9,5.8
3,동해시,10,31.0,18.3,11.7,3.4,26,22.0,7.1,6.7,6.2
3,동해시,11,31.0,11.9,4.8,4.0,24,17.1,-0.2,6.8,6.9
3,동해시,12,31.0,5.7,-0.9,4.5,16,10.2,-7.2,3.2,7.6
4,삼척시,1,30.0,3.7,-2.6,4.5,19,7.9,-8.3,4.4,7.5
4,삼척시,2,30.0,5.2,-1.3,4.2,20,10.1,-6.2,4.4,7.1
4,삼척시,3,30.0,9.6,2.8,4.2,28,15.3,-1.5,7.5,7.1
4,삼척시,4,30.0,15.5,8.1,4.1,28,20.6,3.9,7.6,7.5
4,삼척시,5,30.0,20.2,13.3,3.7,26,24.4,9.7,7.4,6.7
4,삼척시,6,30.0,23.0,17.6,2.9,33,27.1,14.3,9.1,5.0
4,삼척시,7,30.0,26.2,21.6,3.2,44,30.1,18.0,21.0,5.7
4,삼척시,8,30.0,26.8,22.6,2.9,50,30.4,19.2,21.0,5.4
4,삼척시,9,30.0,22.5,17.9,3.1,39,26.2,14.8,16.7,5.8
4,삼척시,10,30.0,18.4,12.7,3.4,26,21.8,8.0,6.7,6.2
4,삼척시,11,30.0,12.2,6.0,3.9,24,17.2,0.8,6.8,6.9
4,삼척시,12,30.0,6.1,0.4,4.5,16,10.5,-5.9,3.1,7.6
5,속초시,1,14.0,1.9,-5.7,5.3,20,6.3,-12.0,5.2,8.2
5,속초시,2,14.0,3.7,-3.8,4.9,22,8.8,-10.3,4.1,7.6
5,속초시,3,14.0,8.7,1.1,4.9,26,14.3,-3.4,5.6,7.5
5,속초시,4,14.0,14.7,6.5,4.8,27,20.5,2.7,7.2,7.9
5,속초시,5,14.0,19.8,11.9,4.1,26,24.6,8.7,7.3,7.3
5,속초시,6,14.0,22.8,16.7,3.5,33,27.1,13.5,8.1,5.3
5,속초시,7,14.0,25.8,20.7,3.6,46,30.4,17.5,20.3,5.8
5,속초시,8,14.0,26.3,21.6,3.4,49,30.3,18.2,20.2,5.8
5,속초시,9,14.0,22.2,16.7,3.4,35,26.0,13.5,14.6,6.0
5,속초시,10,14.0,17.8,11.0,3.9,25,21.3,6.3,6.2,6.8
5,속초시,11,14.0,10.8,4.1,4.7,28,16.1,-0.9,7.9,7.7
5,속초시,12,14.0,4.5,-1.8,5.3,18,9.0,-8.6,3.3,8.2
6,양구군,1,190.0,0.8,-8.5,3.5,15,5.1,-16.4,1.9,5.6
6,양구군,2,190.0,3.4,-6.0,3.8,17,8.7,-13.4,2.9,5.9
6,양구군,3,190.0,8.8,-0.9,4.0,25,14.8,-5.6,4.1,6.3
